代码,名称,收盘,信号,强度,操作建议,历史胜率参考
002119,康强电子,19.86,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002160,常铝股份,5.89,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002539,云图控股,12.19,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002513,蓝丰生化,7.28,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
600176,中国巨石,18.33,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
600650,锦江在线,17.12,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002059,云南旅游,5.79,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
603801,志邦家居,9.53,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002264,新 华 都,12.09,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
600667,太极实业,8.6,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002716,湖南白银,10.54,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002734,利民股份,17.1,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
601677,明泰铝业,15.04,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
000506,招金黄金,14.8,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
000973,佛塑科技,13.31,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002446,盛路通信,14.67,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
000417,合百集团,8.28,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
600054,黄山旅游,11.85,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002107,沃华医药,7.38,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002044,美年健康,8.51,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
000670,盈方微,7.73,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
605136,丽人丽妆,13.9,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
603181,皇马科技,16.19,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
600773,西藏城投,14.45,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
600686,金龙汽车,18.81,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002096,易普力,13.55,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002357,富临运业,11.66,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
600237,铜峰电子,10.49,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
600510,黑牡丹,9.04,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002743,富煌钢构,5.84,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
603209,兴通股份,15.57,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002546,新联电子,7.83,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002562,兄弟科技,6.91,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002451,摩恩电气,12.5,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002452,长高电新,8.95,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
600151,航天机电,19.91,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
603318,水发燃气,7.18,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
605155,西大门,19.53,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
600785,新华百货,17.11,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002842,翔鹭钨业,19.14,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002783,凯龙股份,9.8,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
603132,金徽股份,16.26,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
000967,盈峰环境,6.99,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002588,史丹利,10.0,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
001979,招商蛇口,9.33,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
601155,新城控股,14.82,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
603311,金海高科,15.19,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002910,庄园牧场,12.8,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
601179,中国西电,13.43,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
601233,桐昆股份,18.8,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
600273,嘉化能源,10.1,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002606,大连电瓷,9.5,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
600138,中青旅,10.32,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002454,松芝股份,9.14,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002968,新大正,13.16,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
688101,三达膜,17.89,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
603599,广信股份,12.19,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
605006,山东玻纤,7.45,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002800,天顺股份,17.31,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
000060,中金岭南,6.86,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002921,联诚精密,19.39,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002121,科陆电子,9.24,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002533,金杯电工,13.15,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
603191,望变电气,17.98,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
605599,菜百股份,17.82,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
603038,华立股份,17.88,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
600133,东湖高新,10.86,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
688530,欧莱新材,18.13,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
600458,时代新材,14.15,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
000716,黑芝麻,6.52,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
603135,中重科技,10.19,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002636,金安国纪,18.04,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
601958,金钼股份,18.84,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002627,三峡旅游,7.96,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002427,尤夫股份,7.68,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002299,圣农发展,16.51,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
600312,平高电气,19.87,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
600796,钱江生化,6.44,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
000782,恒申新材,5.4,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
600615,鑫源智造,12.12,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
603002,宏昌电子,8.19,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
600331,宏达股份,13.77,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
600873,梅花生物,10.48,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002564,天沃科技,7.97,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
600422,昆药集团,13.26,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
600814,杭州解百,8.64,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
603231,索宝蛋白,19.64,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002094,青岛金王,8.42,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002846,英联股份,18.0,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
688403,汇成股份,18.98,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
002340,格林美,8.94,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
688096,京源环保,9.38,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
603208,江山欧派,15.61,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
600839,四川长虹,10.7,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
688556,高测股份,13.7,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
600676,交运股份,9.26,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
601311,骆驼股份,9.59,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
603995,甬金股份,19.15,起爆,80,四步到位，满足一击必中条件，建议介入/加仓,65%
