日期,代码,名称,收盘价,涨跌幅,成交量比,信号强度,操作建议
2026-05-08,600731,湖南海利,6.72,0.45,0.29,100,【重仓出击】地量极致，洗盘彻底，大概率反转
2026-05-08,603027,千禾味业,8.91,0.11,0.42,100,【重仓出击】地量极致，洗盘彻底，大概率反转
2026-05-08,001300,三柏硕,18.86,0.37,0.46,100,【重仓出击】地量极致，洗盘彻底，大概率反转
2026-05-08,601918,新集能源,8.47,0.12,0.49,100,【重仓出击】地量极致，洗盘彻底，大概率反转
2026-05-08,603889,新澳股份,8.5,-0.47,0.48,80,【重仓出击】地量极致，洗盘彻底，大概率反转
2026-05-08,000876,新 希 望,8.72,-0.91,0.47,80,【重仓出击】地量极致，洗盘彻底，大概率反转
2026-05-08,603279,景津装备,19.02,-0.68,0.46,80,【重仓出击】地量极致，洗盘彻底，大概率反转
2026-05-08,600470,六国化工,6.72,1.05,0.47,80,【重仓出击】地量极致，洗盘彻底，大概率反转
2026-05-08,600388,龙净环保,19.06,-0.68,0.46,80,【重仓出击】地量极致，洗盘彻底，大概率反转
2026-05-08,002333,罗普斯金,5.53,1.28,0.65,60,【适度试错】形态标准，建议分批建仓
