代码,名称,收盘,信号,强度,操作建议,历史胜率参考
603386,骏亚科技,16.13,蓄势,60,极致缩量，洗盘彻底，支撑位上方待变,72%
002031,巨轮智能,7.54,蓄势,60,极致缩量，洗盘彻底，支撑位上方待变,72%
002951,金时科技,16.73,蓄势,60,极致缩量，洗盘彻底，支撑位上方待变,72%
002825,纳尔股份,11.12,蓄势,60,极致缩量，洗盘彻底，支撑位上方待变,72%
600172,黄河旋风,10.7,蓄势,60,极致缩量，洗盘彻底，支撑位上方待变,72%
000006,深振业Ａ,10.86,蓄势,60,极致缩量，洗盘彻底，支撑位上方待变,72%
002585,双星新材,8.37,蓄势,60,极致缩量，洗盘彻底，支撑位上方待变,72%
603679,华体科技,17.44,蓄势,60,极致缩量，洗盘彻底，支撑位上方待变,72%
002706,良信股份,13.36,蓄势,60,极致缩量，洗盘彻底，支撑位上方待变,72%
603777,来伊份,19.73,蓄势,60,极致缩量，洗盘彻底，支撑位上方待变,72%
603278,大业股份,14.82,蓄势,60,极致缩量，洗盘彻底，支撑位上方待变,72%
002194,武汉凡谷,12.89,蓄势,60,极致缩量，洗盘彻底，支撑位上方待变,72%
600475,华光环能,19.18,蓄势,60,极致缩量，洗盘彻底，支撑位上方待变,72%
600156,华升股份,11.85,蓄势,60,极致缩量，洗盘彻底，支撑位上方待变,72%
002918,蒙娜丽莎,15.09,蓄势,60,极致缩量，洗盘彻底，支撑位上方待变,72%
600530,交大昂立,7.12,蓄势,60,极致缩量，洗盘彻底，支撑位上方待变,72%
002348,高乐股份,13.76,蓄势,60,极致缩量，洗盘彻底，支撑位上方待变,72%
600857,宁波中百,13.78,蓄势,60,极致缩量，洗盘彻底，支撑位上方待变,72%
600480,凌云股份,11.52,蓄势,60,极致缩量，洗盘彻底，支撑位上方待变,72%
