code,price,score,signal_strength,action_advice,volume_ratio,name
601636,8.04,100,极强 (主升浪起爆),激进买入/加仓 (突破位:7.34),1.22,旗滨集团
002972,16.72,100,极强 (主升浪起爆),激进买入/加仓 (突破位:13.69),2.88,科安达
002171,15.38,100,极强 (主升浪起爆),激进买入/加仓 (突破位:13.71),1.77,楚江新材
600110,17.57,100,极强 (主升浪起爆),激进买入/加仓 (突破位:13.44),0.65,诺德股份
603328,15.14,100,极强 (主升浪起爆),激进买入/加仓 (突破位:14.72),1.18,依顿电子
600226,9.76,100,极强 (主升浪起爆),激进买入/加仓 (突破位:8.16),1.25,亨通股份
603500,14.1,100,极强 (主升浪起爆),激进买入/加仓 (突破位:13.90),1.08,祥和实业
000630,7.65,100,极强 (主升浪起爆),激进买入/加仓 (突破位:7.30),1.54,铜陵有色
002585,14.85,100,极强 (主升浪起爆),激进买入/加仓 (突破位:13.48),0.78,双星新材
002446,11.72,70,中等 (趋势形成),底仓试错 (突破位:11.35),1.22,盛路通信
600909,8.97,70,中等 (趋势形成),底仓试错 (突破位:8.16),1.05,华安证券
600888,13.14,70,中等 (趋势形成),底仓试错 (突破位:12.38),1.07,新疆众和
603166,16.49,70,中等 (趋势形成),底仓试错 (突破位:15.32),2.81,福达股份
603335,8.22,70,中等 (趋势形成),底仓试错 (突破位:8.08),2.83,迪生力
000970,14.94,70,中等 (趋势形成),底仓试错 (突破位:14.52),1.94,中科三环
003025,17.0,70,中等 (趋势形成),底仓试错 (突破位:16.75),1.56,思进智能
600366,14.91,70,中等 (趋势形成),底仓试错 (突破位:13.94),2.63,宁波韵升
002910,11.65,70,中等 (趋势形成),底仓试错 (突破位:11.63),3.25,庄园牧场
