代码,名称,现价,跌幅,均线粘合度,评分,操作建议,回测历史胜率参考
600576,祥源文旅,6.32,81.59%,1.39%,100,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002366,融发核电,5.98,89.28%,3.81%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002038,双鹭药业,6.28,80.47%,3.48%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002161,远 望 谷,5.92,81.95%,4.42%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002370,亚太药业,5.79,73.8%,1.27%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
603012,创力集团,8.1,70.98%,0.77%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
000612,焦作万方,10.57,71.02%,3.04%,65,强烈建议：试错买入,高(超跌+激活)
002520,日发精机,7.05,78.66%,4.07%,65,强烈建议：试错买入,高(超跌+激活)
002268,电科网安,14.19,77.95%,2.51%,65,强烈建议：试错买入,高(超跌+激活)
600481,双良节能,5.12,73.65%,2.19%,65,强烈建议：试错买入,高(超跌+激活)
002123,梦网科技,7.91,77.72%,3.3%,65,强烈建议：试错买入,高(超跌+激活)
